,label,area,perimeter,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,eccentricity,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,aspect_ratio,equivalent_diameter
22,3,5.0,3.0,5.656854249492381,0.0,355.0,0.0,0.0,1.0,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,,2.5231325220201604
23,4,4.0,2.0,4.47213595499958,0.0,410.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
24,5,5.0,3.0,5.656854249492381,0.0,438.0,0.0,0.0,1.0,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,,2.5231325220201604
25,1,4.0,2.0,4.47213595499958,0.0,278.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
26,2,3.0,1.0,3.265986323710904,0.0,347.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
27,3,3.0,1.0,3.265986323710904,0.0,363.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
28,4,3.0,1.0,3.265986323710904,0.0,371.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
29,5,3.0,1.0,3.265986323710904,0.0,411.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
30,6,3.0,1.0,3.265986323710904,0.0,430.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
31,7,3.0,1.0,3.265986323710904,0.0,483.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
32,1,2.0,0.0,2.0,0.0,0.5,0.0,0.0,1.0,0.125,0.015625,0.0,0.0,0.0,0.0,0.0,,1.5957691216057308
33,2,5.0,3.0,5.656854249492381,0.0,38.0,0.0,0.0,1.0,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,,2.5231325220201604
34,3,11.0,9.0,12.649110640673518,0.0,122.0,0.0,0.0,1.0,0.9090909090909091,0.8264462809917354,0.0,0.0,0.0,0.0,0.0,,3.742410318509555
35,4,4.0,2.0,4.47213595499958,0.0,142.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
36,5,7.0,5.0,8.0,0.0,300.0,0.0,0.0,1.0,0.5714285714285714,0.32653061224489793,0.0,0.0,0.0,0.0,0.0,,2.985410660720923
37,6,3.0,1.0,3.265986323710904,0.0,391.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
38,1,4.0,2.0,4.47213595499958,0.0,30.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
39,2,3.0,1.0,3.265986323710904,0.0,323.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
40,3,3.0,1.0,3.265986323710904,0.0,335.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
